ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0142,,Collins Smart tech 2,,,,Harper Collins,,,,,,9789390163090,,Computer Science,,80,Harper Collins,2022,
JR0143,,Collins Smart Tech 2; Teachers Manual,,,,Harper Collins,,,,,,9789390191239,,Computer Science,,40,Harper Collins,2021,
JR0144,,Collins Smart Tech 2; Teachers Manual,,,,Harper Collins,,,,,,9789390191239,,Computer Science,,40,Harper Collins,2021,
JR0145,,Collins Smart Tech 2; Teachers Manual,,,,Harper Collins,,,,,,9789390191239,,Computer Science,,40,Harper Collins,2021,
JR0146,,Collins Smart Tech 3,,,,Harper Collins,,,,,,9789390163106,,Computer Science,,96,Harper Collins,2022,
JR0147,,Collins Smart Tech 3,,,,Harper Collins,,,,,,9789390163106,,Computer Science,,96,Harper Collins,2022,
JR0148,,Collins Smart Tech 3,,,,Harper Collins,,,,,,9789390163106,,Computer Science,,96,Harper Collins,2022,
JR0149,,Collins Smart Tech 3; Teachers Manual,,,,Harper Collins,,,,,,9789390191246,,Computer Science,,64,Harper Collins,2021,
JR0150,,Collins Smart Tech 3; Teachers Manual,,,,Harper Collins,,,,,,9789390191246,,Computer Science,,64,Harper Collins,2021,
JR0151,,Collins Smart Tech 3; Teachers Manual,,,,Harper Collins,,,,,,9789390191246,,Computer Science,,64,Harper Collins,2021,
JR0152,,Collins Smart Tech 4,,,,Harper Collins,,,,,,9789390163113,,Computer Science,,112,Harper Collins,2022,
JR0153,,Collins Smart Tech 4,,,,Harper Collins,,,,,,9789390163113,,Computer Science,,112,Harper Collins,2022,
JR0154,,Collins Smart Tech 4,,,,Harper Collins,,,,,,9789390163113,,Computer Science,,112,Harper Collins,2022,
JR0155,,Collins Smart Tech 4; Teachers Manual,,,,Harper Collins,,,,,,9789390191253,,Computer Science,,72,Harper Collins,2021,
JR0156,,Collins Smart Tech 4; Teachers Manual,,,,Harper Collins,,,,,,9789390191253,,Computer Science,,72,Harper Collins,2021,
JR0157,,Collins Smart Tech 4; Teachers Manual,,,,Harper Collins,,,,,,9789390191253,,Computer Science,,72,Harper Collins,2021,
JR0158,,Collins Smart Tech 5,,,,Harper Collins,,,,,,9789390163120,,Computer Science,,112,Harper Collins,2022,
JR0159,,Collins Smart Tech 5,,,,Harper Collins,,,,,,9789390163120,,Computer Science,,112,Harper Collins,2022,
JR0160,,Collins Smart Tech 5,,,,Harper Collins,,,,,,9789390163120,,Computer Science,,112,Harper Collins,2022,
JR0161,,Collins Smart Tech 5; Teachers Manual,,,,Harper Collins,,,,,,9789390191260,,Computer Science,,72,Harper Collins,2021,
JR0162,,Collins Smart Tech 5; Teachers Manual,,,,Harper Collins,,,,,,9789390191260,,Computer Science,,72,Harper Collins,2021,
JR0163,,Collins Smart Tech 5; Teachers Manual,,,,Harper Collins,,,,,,9789390191260,,Computer Science,,72,Harper Collins,2021,
JR0164,"Alamelu, K",Maths Ahead 1,,,,Orient Blackswan,,,,,,9789354425394,,Mathematics,,196,Orient Blackswan,2024,
JR0165,,Maths Ahead 1,,,,Orient Blackswan,,,,,,9789354425394,,Mathematics,,196,Orient Blackswan,2024,
JR0166,,Maths Ahead 1,,,,Orient Blackswan,,,,,,9789354425394,,Mathematics,,196,Orient Blackswan,2024,
JR0167,,Maths Ahead 1; Teachers Manual,,,,Orient Blackswan,,,,,,9780301068077,,Mathematics,,124,Orient Blackswan,2024,
JR0168,,Maths Ahead 1; Teachers Manual,,,,Orient Blackswan,,,,,,9780301068077,,Mathematics,,124,Orient Blackswan,2024,
JR0169,,Maths Ahead 2,,,,Orient Blackswan,,,,,,9789354425400,,Mathematics,,212,Orient Blackswan,2024,
JR0170,,Maths Ahead 2,,,,Orient Blackswan,,,,,,9789354425400,,Mathematics,,212,Orient Blackswan,2024,
JR0171,,Maths Ahead 2,,,,Orient Blackswan,,,,,,9789354425400,,Mathematics,,212,Orient Blackswan,2024,
JR0172,,Maths Ahead 2; Teachers Resource Manual,,,,Orient Blackswan,,,,,,9780301068084,,Mathematics,,124,Orient Blackswan,2024,
JR0173,,Maths Ahead 2; Teachers Resource Manual,,,,Orient Blackswan,,,,,,9780301068084,,Mathematics,,124,Orient Blackswan,2024,
JR0174,,Maths Ahead 3,,,,Orient Blackswan,,,,,,9789354425417,,Mathematics,,212,Orient Blackswan,2024,
JR0175,,Maths Ahead 3,,,,Orient Blackswan,,,,,,9789354425417,,Mathematics,,212,Orient Blackswan,2024,
JR0176,,Maths Ahead 3,,,,Orient Blackswan,,,,,,9789354425417,,Mathematics,,212,Orient Blackswan,2024,
JR0177,,Maths Ahead 3; Teachers Manual,,,,Orient Blackswan,,,,,,9780301068091,,Mathematics,,116,Orient Blackswan,2024,
JR0178,,Maths Ahead 3; Teachers Manual,,,,Orient Blackswan,,,,,,9780301068091,,Mathematics,,116,Orient Blackswan,2024,
JR0179,,Maths Ahead 4,,,,Orient Blackswan,,,,,,9789354425424,,Mathematics,,224,Orient Blackswan,2024,
JR0180,,Maths Ahead 4,,,,Orient Blackswan,,,,,,9789354425424,,Mathematics,,224,Orient Blackswan,2024,
JR0181,,Maths Ahead 4,,,,Orient Blackswan,,,,,,9789354425424,,Mathematics,,224,Orient Blackswan,2024,
JR0182,,Maths Ahead 4; Teachers Resource Manual,,,,Orient Blackswan,,,,,,9780307068107,,Mathematics,,144,Orient Blackswan,2024,
JR0183,,Maths Ahead 4; Teachers Resource Manual,,,,Orient Blackswan,,,,350,,9780307068107,,Mathematics,,144,Orient Blackswan,2024,
JR0184,,Maths Ahead 5,,,,Orient Blackswan,,,,586,,9789354425431,,Mathematics,,240,Orient Blackswan,2024,
JR0185,,Maths Ahead 5,,,,Orient Blackswan,,,,586,,9789354425431,,Mathematics,,240,Orient Blackswan,2024,
JR0186,,Maths Ahead 5,,,,Orient Blackswan,,,,586,,9789354425431,,Mathematics,,240,Orient Blackswan,2024,
JR0187,,Maths Ahead ; Teachers Resource Manual,,,,Orient Blackswan,,,,350,,9780301068114,,Mathematics,,132,Orient Blackswan,2024,
JR0188,,Maths Ahead ; Teachers Resource Manual,,,,"Madhuban, Vikas Publishing",,,,350,,9780301068114,,Mathematics,,132,Orient Blackswan,2024,
JR0189,,Madhuban Saral-Hindi Pathmala1: Teacher's Support Book,,Rev; 2023,28p. ,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,28,Madhubun,2023,
JR0190,,Madhuban Saral-Hindi Pathmala1: Teacher's Support Book,,Rev; 2023,28p. ,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,28,Madhubun,2023,
JR0191,,Madhuban Saral Hindi-Support Book 2,,Rev; 2023,40p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,40,Madhubun,2023,
JR0192,,Madhuban Saral Hindi-Support Book 2,,Rev; 2023,40p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,40,Madhubun,2023,
JR0193,,Madhuban Saral Hindi-Support Book 3,,Rev; 2023,68p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,68,Madhubun,2023,
JR0194,,Madhuban Saral Hindi-Support Book 3,,Rev; 2023,68p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,68,Madhubun,2023,
JR0195,,Madhuban Saral Hindi-Support Book 4,,Rev; 2023,64p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,64,Madhubun,2023,
JR0196,,Madhuban Saral Hindi-Support Book 4,,Rev; 2023,64p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,64,Madhubun,2023,
JR0197,,Madhuban Saral Hindi-Support Book 5,,Rev; 2023,72p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,72,Madhubun,2023,
JR0198,,Madhuban Saral Hindi-Support Book 5,,Rev; 2023,72p.,"Madhuban, Vikas Publishing",,,,120,,,,Hindi,,72,Madhubun,2023,
JR0199,Sanjana Mulla,Communicate with cambridge; Literature Reader 2,,2024,61p.,Cambridge University Press,,,,210,,9781009793131,,English,,61,Cambridge University,2024,
JR0200,Mrs Maria Vaz,"My Skill Book, English-2",,,131p.,Chetana Education,,,,160,,9788184692105,,English,,131,"Chetana, Mumbai",,
JR0201,Sanjana Mulla,Communicate with Cambridge; Course Book 2,,2024,134p.,Cambridge University Press,,,,510,,9781009792912,,English,,134,Cambridge University,2024,
JR0202,Shubha Subramaniam,The World Around Us,,2023,121p.,Cambridge University Press,,,,415,,9781009318044,,Social Studies,,121,Cambridge University,2023,
JR0203,"Prakash, CLN",Communicate with Cambridge; Workbook 2,,2022,84p.,Cambridge University Press,,,,250,,9781009179164,,English,,84,Cambridge University,2022,
JR0204,Ayesha Soldier,Inbox 2,,2024,98p.,Cambridge University Press,,,,305,,9781009441544,,Computer Science,,98,Cambridge University,2024,
JR0205,Shubha Subramaniam,I Care: A Course on Enviornmental Studies,,2024,130p.,Cambridge University Press,,,,460,,9781009793247,,Enviornmental Studies,,130,Cambridge University,2024,
JR0206,Sheeba Mathew John,Cambridge Math Milestone,,2023,166p.,Cambridge University Press,,,,470,,9781009287531,,Mathematics,,166,Cambridge University,2023,
JR0207,Ayesha Soldier,Inbox!,,2024,74p.,Cambridge University Press,,,,295,,9781009792479,,Computer Science,,74,Cambridge University,2024,
JR0208,Mrinalini Pradhan,I Explore Science Textbook,,2022,114p.,Cambridge University Press,,,,325,,9781009183215,,Science,,114,Cambridge University,2022,
JR0209,Shubha Subramaniam,The World Around Us,,2023,110p.,Cambridge University Press,,,,400,,9781009318037,,Social Studies,,110,Cambridge University,2023,
JR0210,Urmi Chakraborty,Do You Know?,,2023,84p.,Cambridge University Press,,,,315,,9781009341790,,General Studies,,84,Cambridge University,2023,
JR0211,Stalin Malhotra,Lesson for Life!,,2015,56p.,Cambridge University Press,,,,280,,9781107464476,,Life Skills,,56,Cambridge University,2015,
JR0212,"Prakash, CLN",Grammar Gear!,,2024,122p.,Cambridge University Press,,,,325,,9781009793292,,English,,122,Cambridge University,2024,
JR0213,Shubha Subramaniam,I Care ,,2024,122p.,Cambridge University Press,,,,430,,9781009793230,,Enviornmental Studies,,122,Cambridge University,2024,
JR0214,"Prakash, CLN",Grammar Gear 2,,2024,138p.,Cambridge University Press,,,,360,,9781009793308,,English,,138,Cambridge University,2024,
JR0215,"Prakash, CLN",Communicate with cambridge,,2024,64p.,Cambridge University Press,,,,265,,9781009793049,,English,,64,Cambridge University,2024,
JR0216,Stalin Malhotra,Lesson for Life 2,,2015,56p.,Cambridge University Press,,,,290,,9781107464810,,Life Skills,,56,Cambridge University,2015,
JR0217,Sheeba Mathew John, Cambridge with Milestone 2,,2023,190p.,Cambridge University Press,,,,490,,9781009287548,,English,,190,Cambridge University,2023,
JR0218,Sanjana Mulla,Communicate with cambridge,,2024,134p.,Cambridge University Press,,,,510,,9781009792905,,English,,134,Cambridge University,2024,
JR0219,Lali John,Splendid Science,,2023,130p.,Cambridge University Press,,,,520,,9781009247528,,Science,,130,Cambridge University,2023,
JR0220,Subba Rao,Ramayana Harikatha,,2024,116p.,Prism,,,,495,,8119355679,,Mythology,,116,Cambridge University,2024,
JR0221,Lali John,Splendid Science,,2023,130p.,Cambridge University Press,,,,510,,9781009247504,,Science,,130,Cambridge University,2023,
JR0222,"Acharya, Madhusmitha","Social Studies, 5",,2023,184p.,Rachna Sagar,,,,,,978-93-5844-774-3,,Social Studies,,184,Rachna Sagar,2023,
JR0223,"Jyoti, Rohini",The World Around Us,,2017,145p.,Cambridge University Press,,,,,,978-1-316-64322-8,,Social Studies,,145,Cambridge University,2017,
JR0224,"Gupta, Sangeeta","Social Studies, 5",,2022,136p.,Viva Education,,,,,,978-93-89401-76-9,,Social Studies,,136,Viva Education,2022,
JR0225,"Tarafdar, Arumita","Social Studies, 5",,2023,138p.,Viva Education,,,,,,978-93-93329-86-8,,Social Studies,,138,,2023,
JR0226,"Mavri, Rama & et.al.",English Grade 1,,2021,180p.,Next Education,,,,,,978-93-9250-143-2,,English,,180,Viva Education,2021,
JR0227,,Grammar and Creative Learning,,,96p.,Firefly,,,,,,978-93-90809-11-0,,English,,96,Next Education,,
JR0228,,"Grammar and Composition, Grade 1",,2020,60p.,Eupheus Learning,,,,,,978-93-89519-13-6,,English,,60,Firefly Books,2020,
JR0229,,"Grammar and Composition, Grade 1",,2020,60p.,Eupheus Learning,,,,,,978-93-89519-13-6,,English,,60,Eupheus learning,2020,
JR0230,"Budgell, Gill",Primary English: Workbook 1,,2021,191p.,Cambridge University Press,,,,,,978-1-108-74271-9,,English,,191,Eupheus learning,2021,
JR0231,,"Magnolia English Reader, Grade 1",,2020,119p.,Orient Blackswan,,,,,,978-93-86689-89-4,,English,,119,Cambridge University Press,2020,
JR0232,,"English, Class 1",,2020,128p.,Tata Class edge,,,,,,978-81-942982-5-0,,English,,128,Orient Blackswan,2020,
JR0233,Sarah Lindsay and Wendy Wren,Cambridge Grammar and writing skills: learner's book 1,,2019,88p.,Cambridge University Press,,,,,,978-1-108-73058-7,,English,,88,Tata Class Edge,2019,
JR0234,"Aulakh, Brinder",Real English: A Multi skill language course,,2024,128p.,Viva Education,,,,,,978-93-95654-98-2,,English,,128,Cambridge University Press,2024,
JR0235,,Grammar Creative Writing,,,96p.,Firefly Books,,,,,,978-93-90809-11-0,,English,,96,Viva Education,,
JR0236,"bhutani, Preeti",Mon Passeport: Pour le monde,,2022,124p.,Unisec,,,,,,978-83-80263-10-6,,French,,124,Firefly Books,2022,
JR0237,"bhutani, Preeti","Mon Passeport: Cahier d' activities, Grade 0",,,48p.,Unisec,,,,,,978-81-935582-2-5,,French,,48,Unisec Publication,,
JR0238,"bhutani, Preeti","Mon Passeport: Cahier d' activities, Grade 2",,,52p.,Unisec,,,,,,978-93-80263-12-0,,French,,52,Unisec Publication,,
JR0239,"bhutani, Preeti","Mon Passeport: Cahier d' activities, Grade 1",,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0240,"Khurana, Archana and likhari, harpreet",Enchante! : Methode de francias,,2015,100p.,Forever Books,,,,,,978-81-8137-967-2,,French,,100,Forever Books,2015,
JR0241,"Khurana, Archana and likhari, harpreet",Enchante!: Workbook,,2015,60p.,Forever Books,,,,,,978-81-8137-972-6,,French,,60,Forever Books,2015,
JR0242,"Khurana, Archana and likhari, harpreet",Enchante! : Methode de francias,,2015,116p.,Forever Books,,,,,,978-81-8137-968-9,,French,Accomnpanying material: Dictionnaire Illustrate,116,Forever Books,2015,
JR0243,"bhutani, Preeti",Mon Passeport: Cahier d' activities,,,48p.,Unisec,,,,,,978-81-93582-2-5,,French,,48,Unisec Publication,,
JR0244,"bhutani, Preeti","Enchante! : Methode de francias, Grade 1",,2022,140p.,Unisec,,,,,,978-93-80263-00-7,,French,,140,Unisec Publication,2022,
JR0245,Simran Batra & Mahitha Ranjith,Apprenons le Francais - 4 : Cahier d' exercises,,2024,112p.,New Saraswati House,,,,,,978-93-55575-57-9,,French,,112,New Saraswati House,2024,
JR0246,Archana Khurana and Harpreet Lakhari,Enchante! : Methode de francias,,2015,128p.,Forever Books,,,,,,978-81-8137-969-6,,French,Accomnpanying material: Dictionnaire Illustrate,128,Forever Books,2015,
JR0247,Simran Batra & Mahitha Ranjith,Apprenons le Francais - 0 : Cahier d' exercises,,2024,64p.,New Saraswati House,,,,,,978-93-55575-54-8,,French,,64,New Saraswati House,2024,
JR0248,"Ranjith, Mahitha",Apprenons le Francais : Methode de Francais; Grade 0,,2024,116p.,New Saraswati House,,,,,,978-93-55575-51-7,,French,,116,New Saraswati House,2024,
JR0249,Archana Khurana and et al.,Enchante! : Methode de francias ; Grade 3,,2015,144p.,New Saraswati House,,,,,,978-81-8137-970-2,,French,Accomnpanying material: Dictionnaire Illustrate,144,Forever Books,2015,
JR0250,"Ranjith, Mahitha",Apprenons le Francais : Methode de Francais; Grade 4,,2024,172p.,New Saraswati House,,,,,,978-93-55575-58-6,,French,,172,New Saraswati House,2024,
JR0251,Archana Khurana and et al.,Enchante! : Methode de francias ; Grade 3 Teacher's Copy,,2015,144p.,Forever Books,,,,,,978-81-8137-970-2, ,French,,144,Forever Books,2015,
JR0252,Heather Mascie- Taylor and Et al.,Tricolore; nouvelle Ed. ; Grade 3,,2014,175p. ,Oxford University Press,,,,,,978-0-17-440343-2,,French,,175,Oxford University Press,2014,
JR0253,Heather Mascie- Taylor and Et al.,Tricolore; nouvelle Ed. ; Grade 4,,2014,175p. ,Oxford University Press,,,,,,978-0-17-440343-2,,French,,175,Oxford University Press,2014,
JR0254,Heather Mascie- Taylor and Et al.,Tricolore; nouvelle Ed. ; Grade 5,,2014,175p. ,Oxford University Press,,,,,,978-0-17-440343-2,,French,,175,Oxford University Press,2014,
JR0255,Simran Batra & Mahitha Ranjith,Apprenons le Francais : Cahier d' exercises ; Grade 1,,2024,72p.,New Saraswati House,,,,,,978-93-55575-53-1,,French,,72,New Saraswati House,2024,
JR0256,"Ranjith, Mahitha",Apprenons le Francais : Methode de Francais; Grade 1,,2024,128p.,New Saraswati House,,,,,,978-93-55575-49-4,,French,,128,New Saraswati House,2024,
JR0257,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0258,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0259,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0260,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0261,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0262,"bhutani, Preeti",Mon Passeport: Cahier d' activities; Grade 1,,,52p.,Unisec,,,,,,978-93-80263-09-0,,French,,52,Unisec Publication,,
JR0263,Archana Khurana and Harpreet Lakhari,Enchante !: Methode de Francais; Grade 2,,2015,128p.,Forever Books,,,,,,978-81-8137-969-6,,French,,128,Forever Books,2015,
JR0264,,My book of Art and Rhythm,,2021,26p.,Next Education,,,,,,978-93-9250-135-7,,Art,,26,Next Education,2021,
JR0265,Vaishali Gupta & Anuradha Gupta,New Science in Everyday Life,,2022,152p.,Oxford University Press,,,,,,978-0-19-561212-7,,Science,,152,Oxford University Press,2022,
JR0266,Cherri Moseley &  Janet Rees,Primary Mathematics; Learner's Book 2,,2021,251p.,Cambridge University Press,,,,,,978-108-74644-1,,Mathematics,,251,Cambridge University,2021,
JR0267,"Praveen, S. Reshma",English vibes: An integrated Skill Course ; Grade 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0268,"Praveen, S. Reshma",English vibes: An integrated Skill Course ; Grade 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0269,"Praveen, S. Reshma",English vibes: An integrated Skill Course ; Grade 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0270,"Praveen, S. Reshma",English vibes: An integrated Skill Course ; Grade 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0271,"Praveen, S. Reshma",English vibes: An integrated Skill Course ; Grade 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0272,,English vibes: An integrated Skill Course ; Grade 3; Teacher's Manual,,,,Eupheus Learning,,,,,,,,English,,,Eupheus learning,,
JR0273,,English vibes: An integrated Skill Course ; Grade 3; Teacher's Manual,,,,Eupheus Learning,,,,,,,,English,,,Eupheus learning,,
JR0274,"O' Brien, Barry",EnglishVille : A Complete Graded Course in English ; Grade 2,,,144p.,Chetana Education,,,,,,978-81-8469-124-5,,English,,144,Chetana Education,,
JR0275,"O' Brien, Barry",EnglishVille : A Complete Graded Course in English ; Grade 2,,,144p.,Chetana Education,,,,,,978-81-8469-124-5,,English,,144,Chetana Education,,
JR0276,"Aulakh, Brinder",Real English: A Multi skill language course; Grade 1,,2018,43p.,Viva Education,,,,,,978-93-87153-80-6,,English,,43,Viva Education,2018,
JR0277,,Vibes: Grammar and Composition ; Grade 1,,2022,60p.,Eupheus Learning,,,,,,978-93-89519-13-6,,English,,60,Eupheus learning,2022,
JR0278,"Praveen, S. Reshma","English vibes: An integrated Skill Course ; Grade 1

",,2021,102p.,Eupheus Learning,,,,,,978-81-938842-1-8, ,English,,102,Eupheus learning,2021,
JR0279,,English; Grade 1,,2020,132p.,Tata Class edge,,,,,,978-81-942982-5-0,,English,,132,Tata Class Edge,2020,
JR0280, ,English; Class 1; Teacher's Edition,,,153p.,Tata Class edge,,,,,,978-81-942982-6-7,,English,,153,Tata Class Edge,,
JR0281,,English Reader; Grade 2,,2024,120p.TUK ,,,,,,,978-81-960113-7-6,,English,,120,TUK,2024,
JR0282,"Praveen, S. Reshma",English Vibes: An Integrated - Skills course; Grade 2,,2021,110p.,Eupheus Learning,,,,,, 978-81-938842-2-5,,English,,110,Eupheus learning,2021,
JR0283,,English; Grade 2; Teacher's Ed.,,2020,177p.,Tata Class edge,,,,,,978-81-942982-9-8,,English,,177,Tata Class Edge,2020,
JR0284,,Grammar and Creative Writing; Grade 3,,,136p.,Firefly Books,,,,,,978-93-90809-13-4,,English,,136,Firefly Books,,
JR0285,"O' Brien, Barry",EnglishVille : A Complete Graded Course in English ; Grade 3,,,152p.,Firefly Books,,,,,,978-93-8833-053-4,,English,,152,Firefly Books,,
JR0286,Rama Mavuri and et al.,English : early years learnig Program; Grade 2,,2021,188p.,Next Education,,,,,,978-93-9250-165-4,,English,,188,Next Education,2021,
JR0287,Rama Mavuri and et al.,Assessment Booklet: early Years Learning Program; Grade 2,,2021,86p.,Next Education,,,,,,978-93-9250-174-6,,English,,86,Next Education,2021,
JR0288,"Praveen, S. Reshma",English Vibes: An Integrated Skills  Course; grade 2,,,110p.,Eupheus Learning,,,,,,978-81-938842-2-5,,English,,110,Eupheus learning,2021,
JR0289,"O' Brien, Barry",Englishville: An Integrated Skills Courses; Grade 2,,,144p.,Firefly Books,,,,,  ,978-81-8469-124-6,,English,,144,Firefly Books,,
JR0290,"Iannsuzzi, Susan and Mudgal, Vaishali",Wow!: English; Grade 3,,2021,146p.,Eupheus Learning,,,,,,978-93-85937-59-0,,English,,146,Eupheus learning,2021,
JR0291,"Lindsay, sarah and Ruttle, Kate",Primary english: Learner's Book 3,,2021,256p.,Cambridge University Press,,,,,,978-1-108-81954-1,,English,,256,Cambridge University,2021,
JR0292,"Batra, Alka",Wind Chimes: An Eclectic Course in English for 21st Century Learners; Grade 3,,2024,144p.,Madhubun,,,,,,978-93-90080-53-3,,English,,144,Madhubun,2024,
JR0293,"Praveen, S. Reshma",English Vibes!: An Integrated-Skills Course; Coursebook 3,,2021,126p.,Eupheus Learning,,,,,,978-81-938842-3-2,,English,,126,Eupheus learning,2021,
JR0294,,English: Workbook; Class 3,,2020,94p.,Tata Class edge,,,,,,978-81-943506-0-6,,English,,94,Tata Class Edge,2020,
JR0295,,English;  Teacher's Ed.,,2020,185p.,Tata Class edge,,,,,,978-81-943580-9-1,,English,,185,Tata Class Edge,2020,
JR0296,,English; Class 3,,2020,156p.,Tata Class edge,,,,,,978-81-943580-8-4,,English,,156,Tata Class Edge,2020,
JR0297,,English: teacher Ed.,,2020,185p.,Tata Class edge,,,,,,978-81-943580-9-1,,English,,185,Tata Class Edge,2020,
JR0298,,English; Class 3,,2020,156p.,Tata Class edge,,,,,,978-81-943580-8-4,,English,,156,Tata Class Edge,2020,
JR0299,,English: Workbook; Class 3,,2020,94p.,Tata Class edge,,,,,,978-81-943506-0-6,,English,,94,Tata Class Edge,2020,
JR0300,"Mangalaprathaban, M",Real English: A Multi- Skill Language Course; Grade 3,,2019,108p.,Viva Education,,,,,,978-93-86824-79-0,,English,,108,Viva Education,2019,
JR0301,,English; Class 3,,2020,156p.,Tata Class edge,,,,,,978-81-943580-8-4,,English,,156,Tata Class Edge,2020,
JR0302,"Samantray, kalyani",New Learner's Grammar and Composition; Grade 2,,2022,112p.,Oxford University Press,,,,,,978-0-19-563420-4,,English,,112,Oxford University Press,2022,
JR0303,"O' Brien, Barry",Englishville: A Complete Graded Course in English; grade 2,,,144p.,Firefly Books,,,,,,978-81-8469-124-5,,English,,144,Firefly Books,,
JR0304,,Grammar and Composition: Teacher's Resource Book; Grade 2,,,128p.,Collins,,,,,,978-93-9019-164-2,,English,,128,Harper Collins,,
JR0305,"Praveen, S. Reshma",English Vibes!: An Integrated-Skills Course; Coursebook 2,,2022,110p.,Eupheus Learning,,,,,,978-81-938842-2-5,,English,,110,Eupheus learning,2022,
JR0306,"Sood, Vandana",Everyday English Grammar and Composition; Book 2,,2023,116p.,Viva Education,,,,,,978-93-93329-23-3,,English,,116,Viva Education,2023,
JR0307,"Bakshi, Rita and Kumar, Pallavi",Grammar and Composition: Applied English; grade 2,,,128p.,V Connect,,,,,,978-93-53621-81-0,,English,,128,V Connect,,
JR0308,"O' Brien, Barry",Englishville: A Complete Graded Course in English; grade 2,,,144p.,Firefly Books,,,,,,978-81-8469-124-5,,English,,144,Firefly Books,,
JR0309,,English; Class 2,,2020,148p.,Tata Class edge,,,,,,978-81-942982-8-1,,English,,148,Tata Class Edge,2020,
JR0310,,Vibes: Grammar and Composition ,,2022,70p.,Eupheus Learning,,,,,,978-93-89519-14-3,,English,,70,Eupheus learning,2022,
JR0311,"Ghosh, Ushani","Think Grammar; Grade 1
",,2024,92p.,Madhubun,,,,,,978-93-5674-991-7,,English,,92,Madhubun,2024,
JR0312,"Ghosh, Ushani",Think Grammar; Grade 2,,2024,100p.,Madhubun,,,,,,978-93-5674-992-4,,English,,100,Madhubun,2024,
JR0313,,"English: teacher Ed.; Class 2
",,2020,177p.,Tata Class edge,,,,,,978-81-942982-9-8,,English,,177,Tata Class Edge,2020,
JR0314,"Aulakh, Brinder","Real English: A Multi skill language course; Grade 2
",,2024,148p.,Viva Education,,,,,,978-93-95654-65-4,,English,,148,Viva Education,2024,
JR0315,,English Vibes : An Integrated Skillls Course: Teacher's Manual; Grade 2,,,,Eupheus Learning,,,,,,,,English,,,Eupheus learning,,
JR0316,,"Magnolia: English Reader
",,2021,135p.,Orient Blackswan,,,,,,978-93-86689-90-0,,English,,135,Orient Blackswan,2021,
JR0317,"Ramesh, Brinder","Climb with Cornerstone: Grammar and Composition Skills; Grade 1
",,,118p.,Pearson,,,,,,978-93-534-3495-3,,English,,118,Pearson,,
JR0318,"Pithadia, Ketan N and Durgesh
","Butterfly: A Multi-Skill Course in English; Grade 2
",,2024,102p.,Green Earth,,,,,,978-93-87634-92-3,,English,,102,Green Earth,2024,
JR0319,,"Vibes!: Grammar and Composition; Grade 2
",,2022,70p.,Eupheus Learning,,,,,,978-93-89519-14-3,,English,,70,Eupheus learning,2022,
JR0320,,"Englishvibes! : An Integrated Skills Course; Teacher's Manual; 2
",,2020,,Eupheus Learning,,,,,,,,English,,,Eupheus learning,2020,
JR0321,"Lindsay, Sarah and Wren, Wendy
",Cambridge Grammar and writing skills: learner's book 2,,2019,95p.,Cambridge University Press,,,,,,978-1-108-73059-4,,English,,95,Cambridge University,2019,
JR0322,Aparna Tulpale and Et al.,English; Class 2,,2020,148p.,Tata Class edge,,,,,,978-81-942982-8-1,,English,,148,Tata Class Edge,2020,
